Item;r_object_id;i_antecedent_id;i_chronicle_id;r_version_label;r_creation_date;i_has_folder;a_content_type;r_link_cnt;object_name;numero_vale;subject;title;r_object_type;codigo_site;fase;id_projeto;id_empresa_projeto;id_subarea;codigo_disciplina;r_is_virtual_doc;documento_fornecedor;numero_documento_base;area_funcional;revisao;sigla_idioma;numero_paginas;nome_formato;sigla_finalidade_devolucao;id_tag;tag_antigo;numero_ld;localizacao_acervo;sigla_tipo_emissao;confidencial;numero_vale_antigo;observacoes;data_emissao_prevista;data_emissao_reprog;data_emissao_realiz;avanco_fisico;codigo_atividade;item_contrato;medicao;coringa;substituto;padronizado;livre;data_reuniao;localidade;data_envio;nome_remetente;nome_destinatario;sigla_fluido;sigla_especificacao;sequencial_linha;equipamento;rc_referencia;rp_referencia;rt_referencia;numero_contrato;numero_contratada;id_empresa_contratada;server_path
419;09035f518223328b;0000000000000000;09035f518223328b;1.0;24/07/2015 17:44:57;0;msw8;0;RL-8032PZ-M-00002_REV_0.DOC;RL-8032PZ-M-00002;LEGADO - V1.0.20150324;USINAS 3 E 4 - TRANSPORTE PNEUMATICO AGLOMERANTE ORGANICO - RELATORIO TECNICO - PROJETO BASICO;engdo_rl;PZ;FEL3;08035f51820be007;08035f518222b073;08035f5181f60295;M;0;0;;;0;;48;A4;;0000000000000000;;LD-832P-98-31060;;B;0;;;nulldate;nulldate;02/12/2014 00:00:00;0;;;MEASURED_PARTIAL;EVENTO 18;;1;GRDC-1733/14, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/5a/3a.doc
420;09035f51822332ae;09035f518223328b;09035f518223328b;1.1;24/07/2015 17:44:58;0;msw8;0;RL-8032PZ-M-00002_REV_1.DOC;RL-8032PZ-M-00002;LEGADO - V1.0.20150324;USINAS 3 E 4 - TRANSPORTE PNEUMATICO AGLOMERANTE ORGANICO - RELATORIO TECNICO - PROJETO BASICO;engdo_rl;PZ;FEL3;08035f51820be007;08035f518222b073;08035f5181f60295;M;0;0;;;1;;26;A4;;0000000000000000;;LD-832P-98-31060;;B;0;;;nulldate;nulldate;12/01/2015 00:00:00;0;;;MEASURED_PARTIAL;EVENTO 18;;1;GRDC-0169/15, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/5a/3b.doc
421;09035f51822332b0;09035f51822332ae;09035f518223328b;1.2;24/07/2015 17:44:58;0;msw8;0;RL-8032PZ-M-00002_REV_2.DOC;RL-8032PZ-M-00002;LEGADO - V1.0.20150324;USINAS 3 E 4 - TRANSPORTE PNEUMATICO AGLOMERANTE ORGANICO MECANICA - RELATORIO TECNICO - PROJETO BASICO;engdo_rl;PZ;FEL3;08035f51820be007;08035f518222b073;08035f5181f60295;M;0;0;;;2;;26;A4;;0000000000000000;;LD-832P-98-31060;;C;0;;;nulldate;nulldate;19/03/2015 00:00:00;0;;;MEASURED_PARTIAL;EVENTO 18;;1;GRDC-0398/15, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/5a/3c.doc
422;09035f51822332b2;09035f51822332b0;09035f518223328b;1.3;24/07/2015 17:44:59;0;msw8;0;RL-8032PZ-M-00002_REV_3.DOC;RL-8032PZ-M-00002;LEGADO - V1.0.20150324;USINAS 3 E 4 - TRANSPORTE PNEUMATICO AGLOMERANTE ORGANICO MECANICA - RELATORIO TECNICO - PROJETO BASICO;engdo_rl;PZ;FEL3;08035f51820be007;08035f518222b073;08035f5181f60295;M;0;0;;;3;;26;A4;;0000000000000000;;LD-832P-98-31060;;C;0;;EM REV THIAGO_MENDONCA-GEDIP-PREV. RETORNO 13/08/2015;nulldate;nulldate;15/04/2015 00:00:00;0;;;MEASURED_PARTIAL;EVENTO 18;;1;GRDC-0471/15, +, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/84/5a/3d.doc
423;09035f51823012a2;09035f51822332b2;09035f518223328b;CURRENT|1.4;27/08/2015 08:42:38;1;msw8;0;RL-8032PZ-M-00002_REV_4.DOC;RL-8032PZ-M-00002;CADASTRARFICHAIMPORTAR;USINAS 3 E 4 - TRANSPORTE PNEUMATICO AGLOMERANTE ORGANICO MECANICA - RELATORIO TECNICO - PROJETO BASICO;engdo_rl;PZ;FEL3;08035f51820be007;08035f518222b071;08035f5181f60295;M;0;0;;;4;;48;A4;APR;;;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;27/08/2015 08:42:08;0;;;;;;1;+, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/8b/a1/04.doc
424;09035f51822cdbdd;0000000000000000;09035f51822cdbdd;1.0|CURRENT;14/08/2015 12:46:10;1;excel12book;0;FD-8032PZ-M-11000_REV_0.XLSX;FD-8032PZ-M-11000;CADASTRARFICHAINCLUIR;USINAS 3 E 4 - TRANSPORTADOR PNEUMATICO AGLOMERANTE ORGANICO - MOEGA TP02MG - FILTRO DE MANGAS - FOLHA DE DADOS - PROJETO BASICO;engdo_fd;PZ;FEL3;08035f51820be007;08035f518222b071;08035f5181f60295;M;0;0;;;0;;8;A4;;;TP02MG;LD-8000PZ-F-11000;;C;0;;;nulldate;nulldate;14/08/2015 12:46:09;0;;;;;;1;+, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/8a/61/a2.xlsx
425;09035f51822cdbdf;0000000000000000;09035f51822cdbdf;CURRENT|1.0;14/08/2015 12:50:01;1;excel12book;0;FD-8332PZ-M-11000_REV_0.XLSX;FD-8332PZ-M-11000;CADASTRARFICHAINCLUIR;USINAS 3 - SISTEMA DE DOSAGEM DE PERIDUR - FILTRO DE MANGAS TIPO DO SILO - FOLHA DE DADOS - PROJETO BASICO;engdo_fd;PZ;FEL3;08035f51820be007;08035f518222b071;08035f5181f60383;M;0;0;;;0;;8;A4;;;;;;C;0;;;nulldate;nulldate;14/08/2015 12:50:00;0;;;;;;0;+, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/8a/61/ce.xlsx
426;09035f51822cdbe1;0000000000000000;09035f51822cdbe1;1.0;14/08/2015 12:53:51;0;excel12book;0;LD-8000PZ-F-11000_REV_0.XLSX;LD-8000PZ-F-11000;CADASTRARFICHAINCLUIR;USINAS 3 E 4 - TRANSPORTE PENUMATICO AGLOMERANTE ORGANICO - LISTA DE DESENHOS E DOCUMENTOS - PROJETO BASICO;engdo_ld;PZ;FEL3;08035f51820be007;08035f518222b071;08035f5181f6026b;F;0;0;;;0;;10;A4;;;;;;C;0;;;nulldate;nulldate;14/08/2015 12:53:49;0;;;;;;1;+, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/8a/62/07.xlsx
427;09035f51822d8cad;09035f51822cdbe1;09035f51822cdbe1;1.1;18/08/2015 16:46:16;0;excel12book;0;LD-8000PZ-F-11000_REV_1.XLSX;LD-8000PZ-F-11000;CADASTRARFICHAIMPORTAR;USINAS 3 E 4 - TRANSPORTE PENUMATICO AGLOMERANTE ORGANICO - LISTA DE DESENHOS E DOCUMENTOS - PROJETO BASICO;engdo_ld;PZ;FEL3;08035f51820be007;08035f518222b071;08035f5181f6026b;F;0;0;;;1;;10;A4;;;;;;C;0;;;nulldate;nulldate;18/08/2015 16:45:57;0;;;;;;1;+, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/8a/c4/11.xlsx
428;09035f51822e4bdb;09035f51822d8cad;09035f51822cdbe1;1.2;21/08/2015 11:08:14;0;excel12book;0;LD-8000PZ-F-11000_REV_2.XLSX;LD-8000PZ-F-11000;CADASTRARFICHAIMPORTAR;USINAS 3 E 4 - TRANSPORTE PENUMATICO AGLOMERANTE ORGANICO - LISTA DE DESENHOS E DOCUMENTOS - PROJETO BASICO;engdo_ld;PZ;FEL3;08035f51820be007;08035f518222b071;08035f5181f6026b;F;0;0;;;2;;10;A4;;;;;;C;0;;;nulldate;nulldate;21/08/2015 11:07:53;0;;;;;;1;+, *;;;;;;;;;;;;;;;;/usr/software/documentum/fs_ged_engenharia_01/00035f51/80/8b/42/00.xlsx
